bv_color	abs_mag
0.482	1.280044559
0.999	5.880896373
-0.019	-1.858212173
0.37	2.248443996
0.902	0.142545372
1.336	8.574406268
0.74	5.772028506
1.102	2.23060552
1.067	1.584924966
0.489	3.563187751
0.081	0.036085995
1.484	0.98001933
1.128	0.941061232
1.2	0.400715068
1.166	-0.270496109
0.425	1.769172327
1.567	7.427185264
0.955	-0.880950813
0.516	3.483187751
1.438	1.039598482
0.962	1.494110323
0.456	2.839778156
0.528	3.785014356
0.763	1.824373256
0.535	3.728949701
0.671	4.037846295
0.468	2.231785591
1.041	0.712469914
0.142	0.625491564
1.453	-2.132867407
0.04	0.901647179
0.466	2.632973947
0.514	1.79337134
0.916	2.610660829
1.15	1.35924243
0.391	2.769598653
0.778	5.452638638
0.475	2.480862338
0.026	0.785335209
0.387	1.91062377
1.032	0.330499492
1.104	-1.009790306
1.035	-2.732937462
1.15	7.639594726
1.164	-2.417704096
0.45	-0.720876014
0.616	2.509734986
0.906	-7.874129497
0.196	1.036656364
0.551	3.094244204
1.329	0.245278498
0.863	5.861343386
0.52	4.053126086
0.386	1.97131778
1.081	2.243797278
0.994	1.504381734
-0.047	-0.645075034
1.156	0.18938533
0.401	2.869267741
0.495	1.93212831
0.94	6.239242518
0.135	2.028907997
0.846	2.843295837
0.671	3.914519568
1.446	-0.609825804
1.068	6.768294311
1.524	-2.809400087
1.67	-0.044185034
0.022	0.582301289
1.203	-3.308472401
0.529	1.551944239
0.566	4.235943212
0.642	5.333500794
1.107	-0.298544159
1.726	-0.237518747
0.852	5.886488915
0.359	3.062502522
0.018	0.175278498
0.43	0.633214298
0.911	-0.74513672
1.566	-0.824364029
0.5	2.280154311
1.3	0.306351097
0.944	1.653304683
0.619	4.119302955
0.644	5.010966719
0.513	2.889571214
1.36	6.845756284
0.53	2.827376548
0.551	3.623057074
0.898	1.255797407
0.509	3.939327852
1.55	-1.231060393
0.538	2.878526235
0.543	3.653352755
0.455	0.5164644
0.97	-0.958381876
1.615	-0.980401518
1.315	-10.75106039
0.388	0.488401524
0.787	5.062335496
1.308	8.371874073
1.384	8.177391873
0.021	-11.32058859
0.654	2.733336373
0.16	0.411472723
0.435	2.951518129
1.093	-9.224043052
0.606	4.444771758
1.071	0.925386392
1.183	-0.157781603
1.197	-0.89904266
1.254	0.491492862
1.169	0.340562479
0.407	-7.073089139
0.366	1.835617774
0.969	-0.278535457
0.559	3.114689375
1.08	0.791744245
0.2	2.428495147
0.358	0.944107963
0.545	-1.223264987
0.264	-1.008744777
0.62	5.0564778
1.153	0.089598482
-0.042	-2.620496109
1.074	1.524988876
1.289	-0.156992829
0.546	3.583664534
1.35	1.858308067
0.73	3.23133354
1.033	6.760821261
1.364	0.863116991
-0.128	-0.61061211
0.306	1.716741736
0.584	0.802628606
0.932	7.973813032
1.06	1.14863965
0.411	1.908058713
0.456	3.165694018
0.459	2.256537993
1.631	-1.407340196
0.283	0.842481253
0.1	0.402543206
0.903	2.40366287
0.999	1.040281604
0.292	2.953798484
-0.052	-0.706331848
1.5	0.022548651
0.696	1.266839074
0.107	0.62198275
0.97	0.748678208
0.66	3.528039192
0.06	0.72891165
1.39	8.206005614
0.509	3.170660829
0.69	5.307678636
0.976	-2.005784545
0.248	-2.490361079
1.035	1.295609189
0.923	0.336902798
0.53	1.246756605
0.172	2.254305919
0.556	2.524303198
0.534	2.633250055
1.171	-0.008495558
1.832	-2.028444142
1.004	0.55328078
-0.15	-1.24160013
0.888	5.78020796
0.53	3.707982733
0.182	0.454834096
0.5	2.818176927
0.488	3.553219672
0.237	0.727783884
0.57	3.648711441
1.49	9.14971792
1.032	0.154910362
0.944	2.433304683
0.315	2.743299895
0.517	1.909532051
1.677	-3.134685948
0.952	-1.216992829
0.276	2.095724805
0.074	-0.203428445
0.323	2.194381485
0.474	3.054182747
0.303	-0.074364029
0.981	-0.07365717
1.274	-0.244911228
0.384	3.046016981
0.436	3.192487287
1.073	-4.424387088
0.967	0.551667405
0.47	3.206869267
0.832	1.94869471
1.003	1.904062757
0.29	0.206458292
1.8	1.401061232
0.016	-0.150527797
0.118	-1.261787497
1.005	1.021909918
0.602	3.537565047
0.18	1.187358438
0.483	1.906389433
1.113	0.178147678
0.617	3.747578796
1.01	-2.105449935
0.489	3.059066314
0.254	-3.877900427
0.532	2.325600915
0.128	-0.98365717
0.423	2.885517768
0.5	2.45333358
0.007	1.615548413
1.18	-0.320299957
0.31	1.272179722
1.222	0.475635971
1.26	-0.22921712
0.903	2.687129695
0.526	2.168444406
0.521	1.533304683
0.565	2.846458292
1.01	-0.210140126
0.967	1.839185507
1.041	0.402591105
0.668	0.041061232
1.036	0.514910362
0.99	5.931719156
0.346	2.780570528
0.342	2.656954809
0.552	4.208382524
0.88	1.330480335
1.176	0.321163219
0.051	0.270660829
0.421	3.157839593
